sk_local;de_regiao;sg_uf;de_estado;nm_municipio;nm_bairro;nm_logradouro;nu_logradouro;cd_cep;vl_latitude;vl_longitude
4616;Região Sudeste;RJ;Rio de Janeiro;SAO GONCALO;TRINDADE;PRACA LEONOR CORREIA;SN;24457010;-22,8075244;-43,0169674
4617;Região Nordeste;PB;Paraíba;JOAO PESSOA;GRAMAME;RUA MARIA LOPES DOS SANTOS;341;58067224;-7,2129086;-34,8526159
4618;Região Nordeste;PE;Pernambuco;RECIFE;CASA FORTE;AVENIDA DEZESSETE DE AGOSTO;1872;52061540;-8,0326887;-34,9230973
4619;Região Sul;PR;Paraná;FOZ DO IGUACU;JARDIM BOA VISTA;RUA DI CAVALCANTI;1628;85864290;-25,5468978;-54,5881716
4620;Região Sul;PR;Paraná;LAPA;CENTRO;AVENIDA DOUTOR MANOEL PEDRO;2411;83750000;-25,7732302;-49,7180874
4621;Região Sul;RS;Rio Grande do Sul;PELOTAS;TRES VENDAS;RUA PLACIDO DE CASTRO;301;96065710;-31,7152156;-52,3508598
4622;Região Sudeste;SP;São Paulo;AMPARO;CENTRO;RUA TREZE DE MAIO;100;13900005;-22,7016469;-46,7668322
4623;Região Nordeste;AL;Alagoas;MACEIO;FAROL;RUA GONCALVES DIAS;41;57051330;-9,6543531;-35,7353415
4624;Região Sudeste;ES;Espírito Santo;VILA VELHA;PRAIA DA COSTA;AVENIDA DOUTOR OLIVIO LIRA;353;29101950;-20,3477821;-40,2949528
4625;Região Sul;RS;Rio Grande do Sul;PORTO ALEGRE;PETROPOLIS;RUA ITAJAI;388;90470140;-30,0358219;-51,1844648
4626;Região Sudeste;SP;São Paulo;SAO JOSE DOS CAMPOS;JARDIM DIAMANTE;RUA BENEDITO ROD DA SILVA;249;12223200;-23,1845449;-45,8427615
4627;Região Centro-Oeste;MS;Mato Grosso do Sul;CAMPO GRANDE;CENTRO;RUA DOM AQUINO;443;79008070;-20,4628366;-54,6268039
4628;Região Sul;PR;Paraná;LAPA;CENTRO;RUA ALOISIO LEONI;457;83750000;-25,7677892;-49,72455
4629;Região Norte;PA;Pará;ANANINDEUA;QUARENTA HORAS;QUADRA 19;2;67125000;-1,338872;-48,357908
4630;Região Sul;RS;Rio Grande do Sul;CANDELARIA;INTERIOR;ESTRADA LINHA CURITIBA;SN;96930000;-29,6735063;-52,7866033
4631;Região Sudeste;SP;São Paulo;SAO PAULO;JARDIM SANTA FE ZONA OESTE;RUA VIRGINIA CASTIGLIONI;423;05271060;-23,4316664;-46,7921092
