sk_ramo_atividade;cd_cnae;de_ramo;de_divisao;cd_atividade;de_atividade
2384;42;Indústria da Construção;OBRAS DE INFRA-ESTRUTURA;4211101;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO
3917;85;Serviços de Educação;EDUCAÇÃO;8520100;ENSINO FUNDAMENTAL
3475;71;Serviços Profissionais e Técnicos;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS";7119704;ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE
2655;43;Indústria da Construção;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;4322301;CONSTRUCAO DE EDIFICIOS
3715;63;Indústria Digital;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO;6311900;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE
1869;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4623106;COMERCIO ATACADISTA DE MAQUINAS, APARELHOS E EQUIPAMENTOS PARA USO AGROPECUARIO, PARTES E PECAS
4006;16;Bens de Consumo;FABRICAÇÃO DE PRODUTOS DE MADEIRA;1622699;INSTALACAO DE PORTAS, JANELAS, TETOS, DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL
3439;68;Serviços Administrativos;ATIVIDADES IMOBILIÁRIAS;6810203;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL
1265;47;Varejo;COMÉRCIO VAREJISTA;4713002;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE
1883;46;Atacado;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;4634601;COMERCIO ATACADISTA DE AVES ABATIDAS E DERIVADOS
3429;68;Serviços Administrativos;ATIVIDADES IMOBILIÁRIAS;6821801;OBRAS DE TERRAPLENAGEM
3348;77;Serviços Administrativos;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;7732201;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL
588;47;Varejo;COMÉRCIO VAREJISTA;4755502;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS
589;47;Varejo;COMÉRCIO VAREJISTA;4759899;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL
